path,name,phrase,mfcc_mean0,mfcc_mean1,mfcc_mean2,mfcc_mean3,mfcc_mean4,mfcc_mean5,mfcc_mean6,mfcc_mean7,mfcc_mean8,mfcc_mean9,mfcc_mean10,mfcc_mean11,mfcc_mean12,mfcc_mean13,mfcc_mean14,mfcc_mean15,mfcc_mean16,mfcc_mean17,mfcc_mean18,mfcc_mean19,mfcc_std20,mfcc_std21,mfcc_std22,mfcc_std23,mfcc_std24,mfcc_std25,mfcc_std26,mfcc_std27,mfcc_std28,mfcc_std29,mfcc_std30,mfcc_std31,mfcc_std32,mfcc_std33,mfcc_std34,mfcc_std35,mfcc_std36,mfcc_std37,mfcc_std38,mfcc_std39,cent_mean,cent_std,cent_skew,rolloff_mean,rolloff_std
./fastapi_app/Голосовые/Алексей/Вход - не распознано Алексей.wav,Алексей,Вход,-661.86,60.364,7.954,17.728,2.667,9.603,-0.739,1.053,-1.322,-1.374,-2.917,-3.397,-0.31,0.096,-1.316,0.346,-1.13,3.069,-3.186,0.92,23.172,11.927,7.105,6.411,7.076,6.819,3.748,4.254,3.998,3.846,5.447,4.761,5.46,4.991,4.818,5.748,5.476,4.03,4.727,5.382,3381.166,470.122,-1.278,7134.831,593.042
./fastapi_app/Голосовые/Алексей/Вход-не распознано Алексей.wav,Алексей,Вход,-661.088,62.941,10.456,25.382,8.987,12.287,5.727,6.388,3.484,1.718,-1.777,-1.707,0.544,-0.907,-2.898,-2.028,-4.4,2.876,-4.195,3.125,28.145,15.586,17.109,12.767,13.188,8.958,8.336,8.42,6.564,5.466,7.516,5.519,3.598,3.799,4.46,4.412,5.018,4.213,4.866,5.003,3079.52,897.493,-1.734,6378.967,1934.273
./fastapi_app/Голосовые/Алексей/Пицца 3 Алексей .wav,Алексей,Пицца,-668.759,55.867,4.943,17.154,0.169,8.683,3.061,5.356,0.719,-1.352,-1.038,-0.478,0.313,-0.853,-3.376,-0.551,-2.437,1.394,-5.611,1.487,21.921,6.824,11.134,7.862,4.189,4.269,6.571,5.325,5.144,4.381,4.06,4.338,4.449,3.145,2.645,4.329,4.489,4.379,5.038,4.523,3536.489,297.782,-2.351,7322.023,285.526
./fastapi_app/Голосовые/Алексей/Пицца Алексей.wav,Алексей,Пицца,-663.814,58.679,5.07,14.162,-1.292,4.082,-6.348,-1.49,-5.074,-4.698,-2.522,1.191,3.941,0.706,1.641,3.109,-0.787,3.653,-4.448,1.538,24.144,6.035,5.699,5.397,5.995,4.623,6.202,6.577,5.699,6.61,5.141,3.628,4.902,3.963,5.431,6.932,4.815,4.919,3.33,2.879,3438.036,237.287,-0.237,7183.77,344.469
./fastapi_app/Голосовые/Алексей/Собака - не распознано Алексей.wav,Алексей,Собака,-665.971,54.545,-1.261,14.842,2.556,11.221,1.623,3.216,1.235,1.575,-0.756,-0.654,2.809,0.759,-4.22,-1.715,-3.474,-0.444,-4.196,1.715,28.016,6.015,5.3,6.002,5.244,6.765,5.488,4.873,5.744,6.251,4.095,3.941,5.23,6.083,5.712,6.302,5.596,3.596,4.961,4.798,3508.358,216.267,-0.759,7235.156,300.914
./fastapi_app/Голосовые/Алексей/Собака Алексей.wav,Алексей,Собака,-670.868,53.081,2.775,15.315,-0.002,9.426,0.685,2.832,0.089,0.457,0.229,-1.184,1.312,0.603,0.005,2.284,-2.623,0.871,-5.25,0.719,24.859,7.687,5.817,4.302,5.651,4.771,5.41,5.444,4.606,4.986,4.756,5.044,5.004,5.532,4.625,3.747,4.341,3.587,5.425,4.916,3597.815,336.76,-1.994,7352.61,352.325
./fastapi_app/Голосовые/Алексей/Шкаф 2 Алексей.wav,Алексей,Шкаф,-665.937,56.719,2.388,17.291,1.364,7.291,-1.856,1.292,2.186,-0.882,-1.92,-0.36,1.688,-0.653,-4.161,-1.98,-2.323,1.621,-6.769,-0.411,24.17,7.426,6.677,6.204,8.389,7.012,5.415,5.166,4.86,4.377,3.971,5.379,6.555,4.775,5.113,4.947,4.227,4.073,4.418,4.729,3475.423,281.061,-0.867,7194.537,335.079
./fastapi_app/Голосовые/Алексей/Шкаф Алексей.wav,Алексей,Шкаф,-671.767,53.373,2.359,16.866,2.001,8.63,-0.073,1.713,-1.205,-1.772,-0.869,-1.112,0.911,-0.803,-0.805,0.443,-0.613,1.327,-3.87,2.431,25.492,3.992,4.299,3.924,3.856,4.102,3.869,3.253,4.704,4.332,3.341,4.338,4.32,3.871,4.156,4.526,4.375,4.284,4.378,3.074,3635.775,103.162,-0.204,7390.783,166.55
./fastapi_app/Голосовые/Алексей/Якурнов Алексей Вход 1.wav,Алексей,Вход,-461.985,97.478,8.576,-13.317,-20.47,-14.178,-8.586,-13.456,-13.339,-13.678,-17.942,-9.787,-9.034,-1.727,-4.673,-0.806,-4.875,-3.335,-5.691,-1.225,91.84,44.026,23.27,18.036,17.315,21.313,8.937,11.079,10.142,8.678,10.006,7.254,7.559,7.324,4.865,4.657,4.875,6.67,5.769,5.264,2470.335,924.155,-0.391,5554.343,2441.152
./fastapi_app/Голосовые/Алексей/Якурнов Алексей Вход 2.wav,Алексей,Вход,-430.314,95.791,-6.606,-7.162,-14.99,-8.236,-10.355,-20.744,-19.765,-7.425,-15.785,-8.758,-10.33,-9.706,-10.74,-7.623,-7.867,-1.037,-6.852,-2.117,77.402,40.773,24.531,19.457,13.942,8.559,10.525,13.709,11.51,5.977,6.951,7.558,6.763,5.255,6.031,6.438,5.228,5.479,4.647,4.733,2468.169,952.294,0.061,5118.54,2495.982
